transaction_id,account_id,transaction_type,amount,balance_after,merchant_name,merchant_category,description,status,created_at,reference_id
1,1,credit,3714.72,8538.27,Direct Deposit,Income,Payroll deposit,completed,2025-01-02 00:00:00,TXN100001
2,1,credit,7991.56,16529.83,Direct Deposit,Income,Payroll deposit,completed,2025-01-16 00:00:00,TXN100002
3,1,credit,4243.65,20773.480000000003,Direct Deposit,Income,Payroll deposit,completed,2025-02-01 00:00:00,TXN100003
4,1,credit,3872.68,24646.160000000003,Direct Deposit,Income,Payroll deposit,completed,2025-02-15 00:00:00,TXN100004
5,1,credit,3306.32,27952.480000000003,Direct Deposit,Income,Payroll deposit,completed,2025-03-03 00:00:00,TXN100005
6,1,credit,6074.67,34027.15,Direct Deposit,Income,Payroll deposit,completed,2025-03-17 00:00:00,TXN100006
7,1,debit,87.25,33939.9,Starbucks,Dining,Purchase at Starbucks,completed,2025-03-23 15:00:00,TXN100007
8,1,debit,58.48,33881.42,Netflix,Streaming,Purchase at Netflix,completed,2025-02-07 14:00:00,TXN100008
9,1,debit,186.87,33694.549999999996,Target,Shopping,Purchase at Target,completed,2025-02-28 11:00:00,TXN100009
10,1,debit,247.6,33694.549999999996,Venmo Transfer,Transfer,Purchase at Venmo Transfer,completed,2025-03-28 21:00:00,TXN100010
11,1,debit,331.59,33362.96,Amazon,Shopping,Purchase at Amazon,completed,2025-02-26 10:00:00,TXN100011
12,1,debit,50.39,33312.57,Shell Gas,Gas & Auto,Purchase at Shell Gas,completed,2025-01-23 08:00:00,TXN100012
13,1,debit,108.11,33204.46,Amazon,Shopping,Purchase at Amazon,completed,2025-02-21 21:00:00,TXN100013
14,1,debit,331.78,32872.68,Netflix,Streaming,Purchase at Netflix,completed,2025-01-29 21:00:00,TXN100014
15,1,debit,53.45,32819.23,CVS Pharmacy,Healthcare,Purchase at CVS Pharmacy,completed,2025-02-03 08:00:00,TXN100015
16,1,debit,264.44,32819.23,Direct Deposit,Income,Purchase at Direct Deposit,completed,2025-01-02 22:00:00,TXN100016
17,1,debit,173.99,32645.24,CVS Pharmacy,Healthcare,Purchase at CVS Pharmacy,completed,2025-03-17 11:00:00,TXN100017
18,1,debit,103.86,32541.38,CVS Pharmacy,Healthcare,Purchase at CVS Pharmacy,completed,2025-03-20 09:00:00,TXN100018
19,1,debit,320.84,32220.54,ATM Withdrawal,Cash,Purchase at ATM Withdrawal,completed,2025-01-11 11:00:00,TXN100019
20,1,debit,85.65,32134.89,Netflix,Streaming,Purchase at Netflix,completed,2025-01-11 13:00:00,TXN100020
21,1,debit,208.26,32134.89,Direct Deposit,Income,Purchase at Direct Deposit,completed,2025-03-09 13:00:00,TXN100021
22,1,debit,131.37,32134.89,Venmo Transfer,Transfer,Purchase at Venmo Transfer,completed,2025-01-22 13:00:00,TXN100022
23,1,debit,199.11,31935.78,Target,Shopping,Purchase at Target,completed,2025-02-25 18:00:00,TXN100023
24,1,debit,184.71,31751.07,Shell Gas,Gas & Auto,Purchase at Shell Gas,completed,2025-01-18 15:00:00,TXN100024
25,1,debit,33.67,31717.4,ATM Withdrawal,Cash,Purchase at ATM Withdrawal,completed,2025-01-03 14:00:00,TXN100025
26,1,debit,160.78,31556.620000000003,Amazon,Shopping,Purchase at Amazon,completed,2025-03-05 22:00:00,TXN100026
27,1,debit,49.99,31506.63,Airbnb,Travel,Airbnb booking hold,pending,2025-04-02 00:00:00,TXN100027
28,4,credit,4538.19,5785.99,Direct Deposit,Income,Payroll deposit,completed,2025-01-02 00:00:00,TXN100028
29,4,credit,5220.62,11006.61,Direct Deposit,Income,Payroll deposit,completed,2025-01-16 00:00:00,TXN100029
30,4,credit,7326.21,18332.82,Direct Deposit,Income,Payroll deposit,completed,2025-02-01 00:00:00,TXN100030
31,4,credit,4972.9,23305.72,Direct Deposit,Income,Payroll deposit,completed,2025-02-15 00:00:00,TXN100031
32,4,credit,7566.58,30872.300000000003,Direct Deposit,Income,Payroll deposit,completed,2025-03-03 00:00:00,TXN100032
33,4,credit,6253.39,37125.69,Direct Deposit,Income,Payroll deposit,completed,2025-03-17 00:00:00,TXN100033
34,4,debit,336.06,36789.630000000005,Amazon,Shopping,Purchase at Amazon,completed,2025-01-11 19:00:00,TXN100034
35,4,debit,246.13,36543.50000000001,Amazon,Shopping,Purchase at Amazon,completed,2025-03-07 21:00:00,TXN100035
36,4,debit,30.89,36512.61000000001,Shell Gas,Gas & Auto,Purchase at Shell Gas,completed,2025-02-06 07:00:00,TXN100036
37,4,debit,226.5,36286.11000000001,Starbucks,Dining,Purchase at Starbucks,completed,2025-01-21 19:00:00,TXN100037
38,4,debit,206.47,36079.64000000001,Target,Shopping,Purchase at Target,completed,2025-01-26 20:00:00,TXN100038
39,4,debit,168.34,35911.30000000001,Uber,Transport,Purchase at Uber,completed,2025-01-27 20:00:00,TXN100039
40,4,debit,122.26,35789.04000000001,CVS Pharmacy,Healthcare,Purchase at CVS Pharmacy,completed,2025-03-13 14:00:00,TXN100040
41,4,debit,177.59,35789.04000000001,Venmo Transfer,Transfer,Purchase at Venmo Transfer,completed,2025-01-26 07:00:00,TXN100041
42,4,debit,38.21,35750.83000000001,CVS Pharmacy,Healthcare,Purchase at CVS Pharmacy,completed,2025-01-24 13:00:00,TXN100042
43,4,debit,240.35,35510.48000000001,Whole Foods,Groceries,Purchase at Whole Foods,completed,2025-03-21 10:00:00,TXN100043
44,4,debit,205.24,35305.24000000001,Shell Gas,Gas & Auto,Purchase at Shell Gas,completed,2025-02-06 10:00:00,TXN100044
45,4,debit,41.74,35263.500000000015,Whole Foods,Groceries,Purchase at Whole Foods,completed,2025-02-08 07:00:00,TXN100045
46,4,debit,122.97,35140.53000000001,CVS Pharmacy,Healthcare,Purchase at CVS Pharmacy,completed,2025-03-26 12:00:00,TXN100046
47,4,debit,299.52,35140.53000000001,Venmo Transfer,Transfer,Purchase at Venmo Transfer,completed,2025-03-29 18:00:00,TXN100047
48,4,debit,291.11,34849.42000000001,Uber,Transport,Purchase at Uber,completed,2025-02-27 18:00:00,TXN100048
49,4,debit,180.42,34669.000000000015,Netflix,Streaming,Purchase at Netflix,completed,2025-02-22 21:00:00,TXN100049
50,4,debit,324.31,34344.69000000002,Starbucks,Dining,Purchase at Starbucks,completed,2025-03-01 21:00:00,TXN100050
51,4,debit,261.52,34083.17000000002,Starbucks,Dining,Purchase at Starbucks,completed,2025-03-17 14:00:00,TXN100051
52,4,debit,229.99,33853.18000000002,ATM Withdrawal,Cash,Purchase at ATM Withdrawal,completed,2025-03-12 20:00:00,TXN100052
53,4,debit,267.35,33585.83000000002,Netflix,Streaming,Purchase at Netflix,completed,2025-01-11 18:00:00,TXN100053
54,4,debit,49.99,33535.840000000026,Airbnb,Travel,Airbnb booking hold,pending,2025-04-02 00:00:00,TXN100054
55,8,credit,3837.0,22337.0,Direct Deposit,Income,Payroll deposit,completed,2025-01-02 00:00:00,TXN100055
56,8,credit,7897.36,30234.36,Direct Deposit,Income,Payroll deposit,completed,2025-01-16 00:00:00,TXN100056
57,8,credit,6751.84,36986.2,Direct Deposit,Income,Payroll deposit,completed,2025-02-01 00:00:00,TXN100057
58,8,credit,8354.26,45340.46,Direct Deposit,Income,Payroll deposit,completed,2025-02-15 00:00:00,TXN100058
59,8,credit,6362.47,51702.93,Direct Deposit,Income,Payroll deposit,completed,2025-03-03 00:00:00,TXN100059
60,8,credit,8122.72,59825.65,Direct Deposit,Income,Payroll deposit,completed,2025-03-17 00:00:00,TXN100060
61,8,debit,45.92,59779.73,Starbucks,Dining,Purchase at Starbucks,completed,2025-02-05 17:00:00,TXN100061
62,8,debit,59.03,59720.700000000004,CVS Pharmacy,Healthcare,Purchase at CVS Pharmacy,completed,2025-03-03 11:00:00,TXN100062
63,8,debit,324.58,59720.700000000004,Venmo Transfer,Transfer,Purchase at Venmo Transfer,completed,2025-03-18 16:00:00,TXN100063
64,8,debit,277.01,59443.69,Walmart,Shopping,Purchase at Walmart,completed,2025-01-29 07:00:00,TXN100064
65,8,debit,226.75,59216.94,Netflix,Streaming,Purchase at Netflix,completed,2025-03-16 08:00:00,TXN100065
66,8,debit,275.12,58941.82,Netflix,Streaming,Purchase at Netflix,completed,2025-02-20 14:00:00,TXN100066
67,8,debit,267.41,58674.409999999996,Starbucks,Dining,Purchase at Starbucks,completed,2025-01-25 16:00:00,TXN100067
68,8,debit,191.9,58674.409999999996,Venmo Transfer,Transfer,Purchase at Venmo Transfer,completed,2025-03-24 11:00:00,TXN100068
69,8,debit,238.65,58435.759999999995,Uber,Transport,Purchase at Uber,completed,2025-03-08 15:00:00,TXN100069
70,8,debit,26.97,58408.78999999999,Walmart,Shopping,Purchase at Walmart,completed,2025-02-20 19:00:00,TXN100070
71,8,debit,225.16,58183.62999999999,Whole Foods,Groceries,Purchase at Whole Foods,completed,2025-03-08 18:00:00,TXN100071
72,8,debit,74.03,58183.62999999999,Venmo Transfer,Transfer,Purchase at Venmo Transfer,completed,2025-03-11 08:00:00,TXN100072
73,8,debit,80.47,58103.15999999999,Amazon,Shopping,Purchase at Amazon,completed,2025-03-05 14:00:00,TXN100073
74,8,debit,91.69,58011.46999999999,Starbucks,Dining,Purchase at Starbucks,completed,2025-03-16 09:00:00,TXN100074
75,8,debit,199.36,57812.109999999986,Whole Foods,Groceries,Purchase at Whole Foods,completed,2025-01-02 15:00:00,TXN100075
76,8,debit,30.13,57781.97999999999,CVS Pharmacy,Healthcare,Purchase at CVS Pharmacy,completed,2025-02-27 14:00:00,TXN100076
77,8,debit,59.87,57722.109999999986,Amazon,Shopping,Purchase at Amazon,completed,2025-02-03 10:00:00,TXN100077
78,8,debit,174.28,57547.82999999999,Uber,Transport,Purchase at Uber,completed,2025-02-25 08:00:00,TXN100078
79,8,debit,100.32,57447.50999999999,Netflix,Streaming,Purchase at Netflix,completed,2025-02-12 11:00:00,TXN100079
80,8,debit,48.71,57447.50999999999,Direct Deposit,Income,Purchase at Direct Deposit,completed,2025-03-11 18:00:00,TXN100080
81,8,debit,49.99,57397.51999999999,Airbnb,Travel,Airbnb booking hold,pending,2025-04-02 00:00:00,TXN100081
82,12,credit,6643.38,6963.53,Direct Deposit,Income,Payroll deposit,completed,2025-01-02 00:00:00,TXN100082
83,12,credit,4709.39,11672.92,Direct Deposit,Income,Payroll deposit,completed,2025-01-16 00:00:00,TXN100083
84,12,credit,3293.96,14966.880000000001,Direct Deposit,Income,Payroll deposit,completed,2025-02-01 00:00:00,TXN100084
85,12,credit,8002.98,22969.86,Direct Deposit,Income,Payroll deposit,completed,2025-02-15 00:00:00,TXN100085
86,12,credit,7997.15,30967.010000000002,Direct Deposit,Income,Payroll deposit,completed,2025-03-03 00:00:00,TXN100086
87,12,credit,8438.37,39405.380000000005,Direct Deposit,Income,Payroll deposit,completed,2025-03-17 00:00:00,TXN100087
88,12,debit,23.12,39382.26,Walmart,Shopping,Purchase at Walmart,completed,2025-01-30 11:00:00,TXN100088
89,12,debit,52.62,39329.64,Target,Shopping,Purchase at Target,completed,2025-01-28 12:00:00,TXN100089
90,12,debit,210.13,39329.64,Direct Deposit,Income,Purchase at Direct Deposit,completed,2025-01-18 20:00:00,TXN100090
91,12,debit,316.61,39013.03,Starbucks,Dining,Purchase at Starbucks,completed,2025-01-10 07:00:00,TXN100091
92,12,debit,196.99,38816.04,CVS Pharmacy,Healthcare,Purchase at CVS Pharmacy,completed,2025-03-02 10:00:00,TXN100092
93,12,debit,239.1,38816.04,Direct Deposit,Income,Purchase at Direct Deposit,completed,2025-03-11 22:00:00,TXN100093
94,12,debit,97.55,38718.49,Walmart,Shopping,Purchase at Walmart,completed,2025-03-19 15:00:00,TXN100094
95,12,debit,247.58,38470.909999999996,Target,Shopping,Purchase at Target,completed,2025-03-21 14:00:00,TXN100095
96,12,debit,256.17,38214.74,Shell Gas,Gas & Auto,Purchase at Shell Gas,completed,2025-02-24 11:00:00,TXN100096
97,12,debit,339.81,37874.93,Uber,Transport,Purchase at Uber,completed,2025-03-08 16:00:00,TXN100097
98,12,debit,302.11,37572.82,Walmart,Shopping,Purchase at Walmart,completed,2025-02-13 17:00:00,TXN100098
99,12,debit,62.42,37510.4,Shell Gas,Gas & Auto,Purchase at Shell Gas,completed,2025-01-16 16:00:00,TXN100099
100,12,debit,45.29,37465.11,Walmart,Shopping,Purchase at Walmart,completed,2025-02-12 17:00:00,TXN100100
101,12,debit,141.31,37465.11,Direct Deposit,Income,Purchase at Direct Deposit,completed,2025-01-13 17:00:00,TXN100101
102,12,debit,203.71,37261.4,CVS Pharmacy,Healthcare,Purchase at CVS Pharmacy,completed,2025-02-26 10:00:00,TXN100102
103,12,debit,300.89,36960.51,CVS Pharmacy,Healthcare,Purchase at CVS Pharmacy,completed,2025-01-09 10:00:00,TXN100103
104,12,debit,185.72,36774.79,Target,Shopping,Purchase at Target,completed,2025-01-09 08:00:00,TXN100104
105,12,debit,202.45,36572.340000000004,Starbucks,Dining,Purchase at Starbucks,completed,2025-01-31 08:00:00,TXN100105
106,12,debit,334.55,36237.79,Netflix,Streaming,Purchase at Netflix,completed,2025-01-22 15:00:00,TXN100106
107,12,debit,98.38,36139.41,Amazon,Shopping,Purchase at Amazon,completed,2025-03-11 08:00:00,TXN100107
108,12,debit,49.99,36089.420000000006,Airbnb,Travel,Airbnb booking hold,pending,2025-04-02 00:00:00,TXN100108
109,15,credit,4472.37,12113.27,Direct Deposit,Income,Payroll deposit,completed,2025-01-02 00:00:00,TXN100109
110,15,credit,7280.95,19394.22,Direct Deposit,Income,Payroll deposit,completed,2025-01-16 00:00:00,TXN100110
111,15,credit,8276.28,27670.5,Direct Deposit,Income,Payroll deposit,completed,2025-02-01 00:00:00,TXN100111
112,15,credit,7878.24,35548.74,Direct Deposit,Income,Payroll deposit,completed,2025-02-15 00:00:00,TXN100112
113,15,credit,7005.78,42554.52,Direct Deposit,Income,Payroll deposit,completed,2025-03-03 00:00:00,TXN100113
114,15,credit,4235.75,46790.27,Direct Deposit,Income,Payroll deposit,completed,2025-03-17 00:00:00,TXN100114
115,15,debit,198.39,46591.88,Whole Foods,Groceries,Purchase at Whole Foods,completed,2025-01-15 08:00:00,TXN100115
116,15,debit,192.02,46399.86,Walmart,Shopping,Purchase at Walmart,completed,2025-01-07 10:00:00,TXN100116
117,15,debit,196.49,46399.86,Direct Deposit,Income,Purchase at Direct Deposit,completed,2025-02-21 08:00:00,TXN100117
118,15,debit,41.56,46358.3,Walmart,Shopping,Purchase at Walmart,completed,2025-04-01 21:00:00,TXN100118
119,15,debit,218.87,46139.43,Shell Gas,Gas & Auto,Purchase at Shell Gas,completed,2025-03-19 20:00:00,TXN100119
120,15,debit,229.85,45909.58,Walmart,Shopping,Purchase at Walmart,completed,2025-02-06 10:00:00,TXN100120
121,15,debit,87.75,45821.83,CVS Pharmacy,Healthcare,Purchase at CVS Pharmacy,completed,2025-02-07 11:00:00,TXN100121
122,15,debit,349.38,45821.83,Direct Deposit,Income,Purchase at Direct Deposit,completed,2025-02-11 22:00:00,TXN100122
123,15,debit,328.2,45821.83,Direct Deposit,Income,Purchase at Direct Deposit,completed,2025-02-09 10:00:00,TXN100123
124,15,debit,160.0,45821.83,Venmo Transfer,Transfer,Purchase at Venmo Transfer,completed,2025-01-20 19:00:00,TXN100124
125,15,debit,313.52,45508.310000000005,Target,Shopping,Purchase at Target,completed,2025-01-17 17:00:00,TXN100125
126,15,debit,94.72,45413.590000000004,Target,Shopping,Purchase at Target,completed,2025-03-24 08:00:00,TXN100126
127,15,debit,54.25,45413.590000000004,Direct Deposit,Income,Purchase at Direct Deposit,completed,2025-01-25 08:00:00,TXN100127
128,15,debit,339.09,45074.50000000001,ATM Withdrawal,Cash,Purchase at ATM Withdrawal,completed,2025-03-19 10:00:00,TXN100128
129,15,debit,192.79,44881.71000000001,CVS Pharmacy,Healthcare,Purchase at CVS Pharmacy,completed,2025-03-14 08:00:00,TXN100129
130,15,debit,239.08,44642.630000000005,Starbucks,Dining,Purchase at Starbucks,completed,2025-01-05 17:00:00,TXN100130
131,15,debit,323.79,44318.840000000004,CVS Pharmacy,Healthcare,Purchase at CVS Pharmacy,completed,2025-01-08 17:00:00,TXN100131
132,15,debit,36.15,44282.69,Whole Foods,Groceries,Purchase at Whole Foods,completed,2025-02-12 08:00:00,TXN100132
133,15,debit,261.28,44021.41,Netflix,Streaming,Purchase at Netflix,completed,2025-03-04 10:00:00,TXN100133
134,15,debit,182.51,44021.41,Venmo Transfer,Transfer,Purchase at Venmo Transfer,completed,2025-04-01 11:00:00,TXN100134
135,15,debit,49.99,43971.420000000006,Airbnb,Travel,Airbnb booking hold,pending,2025-04-02 00:00:00,TXN100135
136,18,credit,5289.89,28289.89,Direct Deposit,Income,Payroll deposit,completed,2025-01-02 00:00:00,TXN100136
137,18,credit,4135.97,32425.86,Direct Deposit,Income,Payroll deposit,completed,2025-01-16 00:00:00,TXN100137
138,18,credit,5486.77,37912.630000000005,Direct Deposit,Income,Payroll deposit,completed,2025-02-01 00:00:00,TXN100138
